Puzzle,Category,Date,Episode_Number,Round
A MEADOW FULL OF FLOWERS,Place,10/18/18,#6854,R5
OLIVE KHAKIS,What Are You Wearing?,10/18/18,#6854,BR
INSECT REPELLENT,Thing,10/19/18,#6855,T1
THEODORE ROOSEVELT,Proper Name,10/19/18,#6855,T2
A BIG FISH IN A SMALL POND,Phrase,10/19/18,#6855,R1
DOGGIE SLEEPING TOTE BEAN,_____ Bag,10/19/18,#6855,R2^
SHARING VACATION PHOTOS,What Are You Doing?,10/19/18,#6855,R3*
EMPLOYEE ORIENTATION,Event,10/19/18,#6855,T3
KANGAROO AND CARIBOU,Rhyme Time,10/19/18,#6855,R4
GOLDEN BEETS,Food & Drink,10/19/18,#6855,R5
COMBING MY HAIR,What Are You Doing?,10/19/18,#6855,BR
AND THE HOME OF THE BRAVE,Song Lyrics,10/22/18,#6856,T1
FORT WORTH TEXAS,On the Map,10/22/18,#6856,T2
MONDAY MORNING QUARTERBACK,Person,10/22/18,#6856,R1
FORCE CONDITIONING PORT BAG,Air ______,10/22/18,#6856,R2^
PINEAPPLE PANCAKES,Food & Drink,10/22/18,#6856,R3*
DROPPING ANCHOR,Event,10/22/18,#6856,T3
DON'T HESITATE,Phrase,10/22/18,#6856,R4
BATH PRODUCTS,Around the House,10/22/18,#6856,BR
ROCKET SCIENTIST,Occupation,10/23/18,#6857,T1
WEEKEND VISIT,Event,10/23/18,#6857,T2
FROM THE MOUNTAINS TO THE PRAIRIES,Song Lyrics,10/23/18,#6857,R1
MILITARY & THIRD BASE,Same Name,10/23/18,#6857,R2
LEARNING TO PLAY STEEL DRUMS,Fun & Games,10/23/18,#6857,R3*
TOM CLANCY NOVELS,Things,10/23/18,#6857,T3
STEAKS AND SHAKES,Rhyme Time,10/23/18,#6857,R4
COUGARS IN THE WILD,Living Things,10/23/18,#6857,BR
STAFF SERGEANT,Person,10/24/18,#6858,T1
ELECTRIC EEL,Living Thing,10/24/18,#6858,T2
FREE PARKING ON THE MONOPOLY BOARD,Fun & Games,10/24/18,#6858,R1
BERET GOBLIN BEAN PEA,Green _____,10/24/18,#6858,R2^
IT'S ALL I EVER WANTED,Phrase,10/24/18,#6858,R3*
TACOMA WASHINGTON,On the Map,10/24/18,#6858,T3
HIDDEN MESSAGES,Things,10/24/18,#6858,R4
APPLE JUICE,Food & Drink,10/24/18,#6858,R5
FUN TO WATCH,Phrase,10/24/18,#6858,BR
SALUTING THE FLAG,What Are You Doing?,10/25/18,#6859,T1
COOL CUSTOMER,Person,10/25/18,#6859,T2
THAT NEVER CROSSED MY MIND,Phrase,10/25/18,#6859,R1
SOLID GOLD CHAIN OF COMMAND,Before & After,10/25/18,#6859,R2
WINDSURFING LESSONS,Fun & Games,10/25/18,#6859,R3*
KANSAS CITY MISSOURI,On the Map,10/25/18,#6859,T3
CLOSING ARGUMENT,Thing,10/25/18,#6859,R4
A YOUTHFUL GUY,Person,10/25/18,#6859,BR
SOLDIERS AND SAILORS,People,10/26/18,#6860,T1
NEW ENGLAND PATRIOTS,Proper Name,10/26/18,#6860,T2
CROWD-PLEASING APPETIZERS,Food & Drink,10/26/18,#6860,R1
FLOYD PANTHER SLIP ROSE,Think Pink,10/26/18,#6860,R2^
LISTENING TO A SALSA BAND,What Are You Doing?,10/26/18,#6860,R3*
MEET THE FLEET,Rhyme Time,10/26/18,#6860,T3
ON THE RIGHT TRACK,Phrase,10/26/18,#6860,R4
IN A FEW HOURS,Phrase,10/26/18,#6860,BR
FAMILY KEEPSAKES,Around the House,10/29/18,#6861,T1
PEACH BLOSSOMS,Living Things,10/29/18,#6861,T2
IMPROVEMENT REMEDY BODY TEAM,Home _____,10/29/18,#6861,R1^
SO MANY WONDERFUL MEMORIES,Phrase,10/29/18,#6861,R2
ADVENTURERS & SIGHTSEERS,People,10/29/18,#6861,R3*
MAKING THE BED,What Are You Doing?,10/29/18,#6861,T3
ENCOURAGING WORDS,Things,10/29/18,#6861,R4
BEYOND DESCRIPTION,Phrase,10/29/18,#6861,BR
MOWING THE LAWN,What Are You Doing?,10/30/18,#6862,T1
BRITISH COLUMBIA,On the Map,10/30/18,#6862,T2
TRIPLETS STOOGES PIGS TRIO,They Come In Threes,10/30/18,#6862,R1^
MARBLE FIREPLACE MANTEL,Around the House,10/30/18,#6862,R2
SEAPLANES AND SAILBOATS,Things,10/30/18,#6862,R3*
SCIENCE FAIR,Event,10/30/18,#6862,T3
HOMEMADE MUFFINS,Food & Drink,10/30/18,#6862,R4
FOLDING WORKBENCH,Around the House,10/30/18,#6862,BR
MEANINGFUL MOMENTS,Things,10/31/18,#6863,T1
WATERING THE PLANTS,What Are You Doing?,10/31/18,#6863,T2
LAUGH-OUT-LOUD HILARIOUS,Phrase,10/31/18,#6863,R1
ZIP LINE OF CREDIT,Before & After,10/31/18,#6863,R2
I'VE GOT NO COMPLAINTS WHATSOEVER,Phrase,10/31/18,#6863,R3*
HOLLYWOOD SCREENWRITER,Show Biz,10/31/18,#6863,T3
HAPPY WIFE HAPPY LIFE,Rhyme Time,10/31/18,#6863,R4
MIXING PAINT,What Are You Doing?,10/31/18,#6863,BR
PHOTO ALBUM,Around the House,11/1/18,#6864,T1
WINDSOR CASTLE,Landmark,11/1/18,#6864,T2
GRANDMA'S SECRET RECIPE,Thing,11/1/18,#6864,R1
SILVER MEASURING TEA SOUP,Spoons,11/1/18,#6864,R2^
KICKING OFF MY FLIP-FLOPS,What Are You Doing?,11/1/18,#6864,R3*
PURRING KITTENS,Living Things,11/1/18,#6864,T3
ANY SECOND NOW,Phrase,11/1/18,#6864,R4
POISED FOR VICTORY,Phrase,11/1/18,#6864,BR
SENTIMENTAL VALUE,Thing,11/2/18,#6865,T1
WELL-STOCKED KITCHEN,Place,11/2/18,#6865,T2
IT'S A NEW DAWN IT'S A NEW DAY,Song Lyrics,11/2/18,#6865,R1
SWEET SAVORY SNACKS,Same Letter,11/2/18,#6865,R2
IF YOU NEED ME I'LL BE AT THE BEACH,Phrase,11/2/18,#6865,R3*
BARGAIN SHOPPER,Person,11/2/18,#6865,T3
CHANGING LANES,What Are You Doing?,11/2/18,#6865,R4
SATIN PILLOWCASES,Around the House,11/2/18,#6865,R5
PAIR OF COWBOY BOOTS,What Are You Wearing?,11/2/18,#6865,BR
MISSISSIPPI DELTA,On the Map,11/5/18,#6866,T1
THE SHOW MUST GO ON,Phrase,11/5/18,#6866,T2
WORKING OUT WITH DUMBBELLS,Fun & Games,11/5/18,#6866,R1
HERBERT LYNDON JOHN ABE,Presidential Firsts,11/5/18,#6866,R2^
IMPRESSIVE SWIMMING POOLS,Places,11/5/18,#6866,R3*
THE TIME MACHINE,Title,11/5/18,#6866,T3
PUSHPINS AND THUMBTACKS,Things,11/5/18,#6866,R4
MICROWAVE EGG POACHER,In the Kitchen,11/5/18,#6866,BR
AMERICAN BEAUTY ROSES,Living Things,11/6/18,#6867,T1
ACTING COACH,Show Biz,11/6/18,#6867,T2
NATURAL HISTORY MUSEUM,Place,11/6/18,#6867,R1
LAUNDRY GROCERIES AIR TEA,It's In the Bag,11/6/18,#6867,R2^
DELIGHTFUL SEAFOOD,Food & Drink,11/6/18,#6867,R3*
CATCHY TUNE,Thing,11/6/18,#6867,T3
CLOTHES MAKE THE MAN,Phrase,11/6/18,#6867,R4
POSITIVE OUTCOME,Thing,11/6/18,#6867,BR
BY THE DAWN'S EARLY LIGHT,Song Lyrics,11/7/18,#6868,T1
BEN STILLER,Proper Name,11/7/18,#6868,T2
TAKING OFF IN A HELICOPTER,Event,11/7/18,#6868,R1
FAMILY FRIENDS FUN,Same Letter,11/7/18,#6868,R2
PLAZAS CAFES AND BARS,Places,11/7/18,#6868,R3*
TAXI DRIVER,Occupation,11/7/18,#6868,T3
RACE AGAINST TIME,Phrase,11/7/18,#6868,R4
STAGE MANAGER,Show Biz,11/7/18,#6868,R5
VIDEO ARCADE,Place,11/7/18,#6868,BR
OLYMPIC ATHLETE,Person,11/8/18,#6869,T1
ROMANCE NOVEL,Thing,11/8/18,#6869,T2
JURASSIC WORLD SERIES,Before & After,11/8/18,#6869,R1
INDOOR ROCK-CLIMBING WALL,Fun & Games,11/8/18,#6869,R2
GRAB YOUR SURFBOARD,Phrase,11/8/18,#6869,R3*
ELBOW MACARONI,Food & Drink,11/8/18,#6869,T3
TROMBONES & SAXOPHONES,Rhyme Time,11/8/18,#6869,R4
NEW GOLF BAG,Fun & Games,11/8/18,#6869,BR
NEW YORK CITY,On the Map,11/9/18,#6870,T1
CIRCUS CLOWN,Occupation,11/9/18,#6870,T2
CARROT & SELFIE STICK,Same Name,11/9/18,#6870,R1
DOWNTOWN SHOPPING CENTER,Place,11/9/18,#6870,R2
SOAKING UP THE WARM SUNSHINE,What Are You Doing?,11/9/18,#6870,R3*
HARDWOOD FLOORS,Around the House,11/9/18,#6870,T3
BLACKENED FISH TACOS,Food & Drink,11/9/18,#6870,R4
HEAVYWEIGHT BOXER,Person,11/9/18,#6870,BR
OUR NATION'S CAPITAL,Place,11/12/18,#6871,T1
FOREIGN DIPLOMAT,Person,11/12/18,#6871,T2
THOMAS JEFFERSON MEMORIAL,Landmark,11/12/18,#6871,R1
SPEAKER OF THE HOUSE OF PANCAKES,Before & After,11/12/18,#6871,R2
SCOTTISH ACCENT,Thing,11/12/18,#6871,R3*
CHERRY BLOSSOMS,Living Things,11/12/18,#6871,T3
WISHFUL THINKING,Phrase,11/12/18,#6871,R4
JOYFUL PARTYGOERS,People,11/12/18,#6871,BR
WASHINGTON MONUMENT,Landmark,11/13/18,#6872,T1
TRICKS OF THE TRADE,Phrase,11/13/18,#6872,T2
DEPARTMENT OF THE INTERIOR DECORATOR,Before & After,11/13/18,#6872,R1
SPICY THREE-CHEESE DIP,Food & Drink,11/13/18,#6872,R2
STUNNING COASTLINES,Places,11/13/18,#6872,R3*
IMMEDIATE SUPERVISOR,Person,11/13/18,#6872,T3
GOING THE EXTRA MILE,What Are You Doing?,11/13/18,#6872,R4
A JOURNEY BY FOOT,Event,11/13/18,#6872,BR
THE NATIONAL MUSEUM,Landmark,11/14/18,#6873,T1
PRESIDENTIAL SPEECHWRITER,Occupation,11/14/18,#6873,T2
SWEAT BIRTHDAY SWIM LAW,_____ Suit,11/14/18,#6873,R1^
FEDERAL BUREAU OF INVESTIGATION,Proper Name,11/14/18,#6873,R2
A TROPICAL ESCAPE,Event,11/14/18,#6873,R3*
THE LION KING,Title,11/14/18,#6873,T3
SELF-MADE MILLIONAIRE,Person,11/14/18,#6873,R4
ICY BLIZZARD,Event,11/14/18,#6873,BR
A NIGHT TO REMEMBER,Phrase,11/15/18,#6874,T1
PRESS CONFERENCE,Event,11/15/18,#6874,T2
BLACK BELT IN KARATE,Person,11/15/18,#6874,R1
CHICKEN SUBMARINE CLUB TUNA,_____ Sandwich,11/15/18,#6874,R2^
TAKING IN THOSE MAUI VIBES,What Are You Doing?,11/15/18,#6874,R3*
HIDDEN CAMERA,Thing,11/15/18,#6874,T3
DINNER IS SERVED,Phrase,11/15/18,#6874,R4
JUST A GLIMPSE,Phrase,11/15/18,#6874,BR
WHITE HOUSE TOUR,Event,11/16/18,#6875,T1
BUSY INTERSECTION,Place,11/16/18,#6875,T2
STRAWBERRY SHORTCAKE,Food & Drink,11/16/18,#6875,R1
BASEBALL HUB KNEE GAS,_____ Cap,11/16/18,#6875,R2^
GORGEOUS GEOGRAPHY,Thing,11/16/18,#6875,R3*
WORLD LEADERS,People,11/16/18,#6875,T3
THE HOLIDAYS ARE COMING,Phrase,11/16/18,#6875,R4
SCORING A GOAL,Fun & Games,11/16/18,#6875,R5
I FOUND OUT,Phrase,11/16/18,#6875,BR
WHAT TIME DO WE EAT?,Phrase,11/19/18,#6876,T1
FOOD NETWORK,TV Title,11/19/18,#6876,T2
ROSEMARY AND SAGE STUFFING,Food & Drink,11/19/18,#6876,R1
HOLIDAY RECIPES MEAL YAMS,Thanksgiving _____,11/19/18,#6876,R2^
INDULGING MYSELF,What Are You Doing?,11/19/18,#6876,R3*
TRENTON NEW JERSEY,On the Map,11/19/18,#6876,T3
OVEN THERMOMETER,In the Kitchen,11/19/18,#6876,R4
BUBBLING OVER WITH JOY,What Are You Doing?,11/19/18,#6876,BR
TURKEY BASTER,In the Kitchen,11/20/18,#6877,T1
AFRICAN VIOLET,Living Thing,11/20/18,#6877,T2
STERLING SILVER BELT BUCKLE,What Are You Wearing?,11/20/18,#6877,R1
PLYMOUTH & PET ROCK,Same Name,11/20/18,#6877,R2
THIS WILL BE SPECTACULAR,Phrase,11/20/18,#6877,R3*
PROVINCETOWN,On the Map,11/20/18,#6877,T3
SCRAMBLING AROUND,What Are You Doing?,11/20/18,#6877,R4
QUOTE OF THE DAY,Thing,11/20/18,#6877,BR
GOBBLE GOBBLE,Phrase,11/21/18,#6878,T1
CUTTING BOARD,In the Kitchen,11/21/18,#6878,T2
HUSBAND SISTER AUNT DAD,We Are Family,11/21/18,#6878,R1^
ORIGINAL THIRTEEN COLONIES,On the Map,11/21/18,#6878,R2
TRADITIONAL BLACK BEAN SOUP,Food & Drink,11/21/18,#6878,R3*
CHURNING BUTTER,What Are You Doing?,11/21/18,#6878,T3
MY FAVORITE BOOK,Thing,11/21/18,#6878,R4
MADAGASCAR,On the Map,11/21/18,#6878,BR
SURROUNDED BY LOVED ONES,Phrase,11/22/18,#6879,T1
DETROIT LIONS,Proper Name,11/22/18,#6879,T2
PUMPKIN PIE WITH PECAN CRUST,Food & Drink,11/22/18,#6879,R1
BUMPER CAR ALARM,Before & After,11/22/18,#6879,R2
WHITE SAND & GENTLE SURF,Things,11/22/18,#6879,R3*
ROLLING PIN,In the Kitchen,11/22/18,#6879,T3
SPRINGER SPANIEL,Living Thing,11/22/18,#6879,R4
WOMBATS AND KOALAS,Living Things,11/22/18,#6879,BR
NEW ENGLAND,On the Map,11/23/18,#6880,T1
ELECTRIC KNIFE,In the Kitchen,11/23/18,#6880,T2
MASHED POTATOES WITH MUSHROOM GRAVY,Food & Drink,11/23/18,#6880,R1
BROOM LICORICE DRUM POOL,_____ Stick,11/23/18,#6880,R2^
PLANNING A TRIP TO HAWAII,What Are You Doing?,11/23/18,#6880,R3*
A REAL SHOWSTOPPER,Thing,11/23/18,#6880,T3
DENIM OVERALLS,What Are You Wearing?,11/23/18,#6880,R4
THE SOUND OF MUSIC,Title,11/23/18,#6880,R5
FIXING A GLITCH,What Are You Doing?,11/23/18,#6880,BR
VIENNA SAUSAGE,Food & Drink,11/26/18,#6881,T1
NATURAL TALENT,Thing,11/26/18,#6881,T2
ANTIQUE CHINA CABINET,Around the House,11/26/18,#6881,R1
WARSAW MADRID BELGRADE ROME,European Capitals,11/26/18,#6881,R2^
I'M LOUNGING AT THE POOL,What Are You Doing?,11/26/18,#6881,R3*
KATE WINSLET,Proper Name,11/26/18,#6881,T3
THAT'S THE LAST STRAW,Phrase,11/26/18,#6881,R4
SITUATION COMEDY,Show Biz,11/26/18,#6881,R5
SALTWATER FISH,Living Things,11/26/18,#6881,R6
A BOWL OF YOGURT,Food & Drink,11/26/18,#6881,BR
PABLO PICASSO,Proper Name,11/27/18,#6882,T1
BERLIN GERMANY,On the Map,11/27/18,#6882,T2
ORIGINAL STUDIO RECORDING,Show Biz,11/27/18,#6882,R1
SHOPPING & SLEEPING BAG,Same Name,11/27/18,#6882,R2
SEEING A BROADWAY SHOW,Event,11/27/18,#6882,R3*
FIT AS A FIDDLE,Phrase,11/27/18,#6882,T3
POTATO DUMPLINGS,Food & Drink,11/27/18,#6882,R4
NURSE PRACTITIONER,Occupation,11/27/18,#6882,R5
POWER OUTAGES,Events,11/27/18,#6882,BR
KISS ME I'M IRISH,Phrase,11/28/18,#6883,T1
THREE WISHES,Things,11/28/18,#6883,T2
SO YOU THINK YOU CAN DANCE,TV Title,11/28/18,#6883,R1
SANCTUARY FEATHERS FEED CAGE,Bird _____,11/28/18,#6883,R2^
SPLENDID LAKES AND MOUNTAINS,Places,11/28/18,#6883,R3*
JAMES BOND MOVIES,Show Biz,11/28/18,#6883,T3
FUN-LOVING FRIENDS,People,11/28/18,#6883,R4
SETTING SAIL,Event,11/28/18,#6883,R5
JUICY AND DELICIOUS,Phrase,11/28/18,#6883,BR
IT'S ALL GREEK TO ME,Quotation,11/29/18,#6884,T1
GRACEFUL GAZELLE,Living Thing,11/29/18,#6884,T2
EXCHANGE WATERS FLIGHTS NEWS,International _____,11/29/18,#6884,R1^
LOBSTER RAVIOLI WITH GARLIC CREAM SAUCE,Food & Drink,11/29/18,#6884,R2
THIS WILL KNOCK YOUR SOCKS OFF,Phrase,11/29/18,#6884,R3*
DIMMER SWITCH,Around the House,11/29/18,#6884,T3
MUSTARD AND CUSTARD,Rhyme Time,11/29/18,#6884,R4
FLEXING MY BICEPS,What Are You Doing?,11/29/18,#6884,BR
LET'S GO DUTCH,Phrase,11/30/18,#6885,T1
THE WORLD IS YOUR OYSTER,Quotation,11/30/18,#6885,T2
I SPEAK FLUENT FRENCH FRIES,Before & After,11/30/18,#6885,R1
HARRY POTTER AND THE CURSED CHILD,Title,11/30/18,#6885,R2
TRULY EPIC LANDSCAPES,Places,11/30/18,#6885,R3*
PRAYING MANTIS,Living Thing,11/30/18,#6885,T3
A FEW SECONDS,Things,11/30/18,#6885,R4
ROASTED ALMONDS,Food & Drink,11/30/18,#6885,R5
HIGHLY QUESTIONABLE,Phrase,11/30/18,#6885,BR
BUILDING A SNOWMAN,Fun & Games,12/3/18,#6886,T1
MADISON WISCONSIN,On the Map,12/3/18,#6886,T2
ROWS OF EVERGREEN TREES,Living Things,12/3/18,#6886,R1
CAPS COATS & COMFORTERS,Same Letter,12/3/18,#6886,R2
EXPLORING NEW WONDERS,What Are You Doing?,12/3/18,#6886,R3*
SATURDAY MATINEE,Show Biz,12/3/18,#6886,T3
GIVE ME A HINT,Phrase,12/3/18,#6886,R4
PROMS AND GALAS,Events,12/3/18,#6886,BR
ICE ICE BABY,Song Lyrics,12/4/18,#6887,T1
CARRIE UNDERWOOD,Proper Name,12/4/18,#6887,T2
LIPS CHANGE ENDS LEAF,Loose _____,12/4/18,#6887,R1^
ENORMOUS ALASKAN MOOSE,Living Thing,12/4/18,#6887,R2
PARIS IS MY FAVORITE CITY,Phrase,12/4/18,#6887,R3*
SECOND HONEYMOON,Event,12/4/18,#6887,T3
TV REMOTE CONTROL,Around the House,12/4/18,#6887,R4
CIVIL ENGINEER,Occupation,12/4/18,#6887,R5
WAY ABOVE AVERAGE,Phrase,12/4/18,#6887,BR
LEATHER GLOVES,What Are You Wearing?,12/5/18,#6888,T1
FRENCH MANICURE,Thing,12/5/18,#6888,T2
ICE-SKATING IN THE EVENING,Fun & Games,12/5/18,#6888,R1
CLIMBER RANGE BIKE PEAK,Mountain _____,12/5/18,#6888,R2^
GETTING READY FOR YOUR TRIP,Phrase,12/5/18,#6888,R3*
RASPBERRY BERET,Song Title,12/5/18,#6888,T3
TURNING UP THE HEAT,What Are You Doing?,12/5/18,#6888,R4
OVERCOMING HURDLES,What Are You Doing?,12/5/18,#6888,BR
THE ARCTIC OCEAN,On the Map,12/6/18,#6889,T1
SIGNIFICANT OTHER,Person,12/6/18,#6889,T2
TRYING OUT MY NEW SKI BOOTS,Fun & Games,12/6/18,#6889,R1
AVERAGE PAR ZERO DECK,Below _____,12/6/18,#6889,R2^
NAPPING IN A HAMMOCK,What Are You Doing?,12/6/18,#6889,R3*
EMPEROR PENGUINS,Living Things,12/6/18,#6889,T3
WORKS LIKE A CHARM,Phrase,12/6/18,#6889,R4
HAWKS IN FLIGHT,Living Things,12/6/18,#6889,BR
COTTON TURTLENECK,What Are You Wearing?,12/7/18,#6890,T1
WHEN THE DUST SETTLES,Phrase,12/7/18,#6890,T2
YOU'RE THE APPLE OF MY EYE CHART,Before & After,12/7/18,#6890,R1
RED SOX WIN WORLD SERIES AGAIN,Headline,12/7/18,#6890,R2
EUROPEAN DESTINATIONS,Places,12/7/18,#6890,R3*
CHICAGO ILLINOIS,On the Map,12/7/18,#6890,T3
SNOWFLAKES AND SNOW FLURRIES,Things,12/7/18,#6890,R4
TELLING A STORY,What Are You Doing?,12/7/18,#6890,R5
FUZZY PAJAMAS,What Are You Wearing?,12/7/18,#6890,BR
HERE COMES SANTA CLAUS,Song Lyrics,12/10/18,#6891,T1
TEMPTING OFFER,Thing,12/10/18,#6891,T2
TAKING AN AFTER-DINNER WALK,What Are You Doing?,12/10/18,#6891,R1
WRAPPING TISSUE WAX NEWS,_____ Paper,12/10/18,#6891,R2^
DELICIOUS LOCAL FRUITS,Food & Drink,12/10/18,#6891,R3*
KELLY CLARKSON,Proper Name,12/10/18,#6891,T3
DOLLS AND DOLLHOUSES,Fun & Games,12/10/18,#6891,R4
YOU HAVE A CHOICE,Phrase,12/10/18,#6891,BR
THE ENTIRE FAMILY,People,12/11/18,#6892,T1
MINNEAPOLIS MINNESOTA,On the Map,12/11/18,#6892,T2
A MUG OF HOT APPLE CIDER,Food & Drink,12/11/18,#6892,R1
TREE TRIMMINGS & TOY TRAINS,Same Letter,12/11/18,#6892,R2
I WAS HOPING YOU MIGHT SAY THAT,Phrase,12/11/18,#6892,R3*
DIGITAL THERMOSTAT,Around the House,12/11/18,#6892,T3
SHAKING A SNOW GLOBE,What Are You Doing?,12/11/18,#6892,R4
PUSHING FORWARD,What Are You Doing?,12/11/18,#6892,BR
WHERE'S THE MISTLETOE?,Phrase,12/12/18,#6893,T1
CLOSE FRIENDS,People,12/12/18,#6893,T2
MOVIE SEASON BUS MEAL,_____ Ticket,12/12/18,#6893,R1^
YOU BETTER NOT CRY BETTER NOT POUT,Song Lyrics,12/12/18,#6893,R2
SUBLIME SUN SAND & SURF,Same Letter,12/12/18,#6893,R3*
COMPUTER TECHNICIAN,Occupation,12/12/18,#6893,T3
ADDING IT TO THE LIST,What Are You Doing?,12/12/18,#6893,R4
OUT OF PRACTICE,Phrase,12/12/18,#6893,BR
RUDOLPH'S RED NOSE,Thing,12/13/18,#6894,T1
SHORT AND SWEET,Phrase,12/13/18,#6894,T2
WINNING QUARTERBACK,Person,12/13/18,#6894,R1
JINGLE BELL-BOTTOM JEANS,Before & After,12/13/18,#6894,R2
COLORFUL PORTS AND HARBORS,Places,12/13/18,#6894,R3*
SLOW-ROASTED PRIME RIB,Food & Drink,12/13/18,#6894,T3
LIZARDS AND GIZZARDS,Rhyme Time,12/13/18,#6894,R4
THE LITTLE MERMAID,Character,12/13/18,#6894,R5
BOILED CABBAGE,Food & Drink,12/13/18,#6894,BR
ANTIQUE NUTCRACKER,Around the House,12/14/18,#6895,T1
BRIEF INTRODUCTION,Thing,12/14/18,#6895,T2
ROCKY TOLL DIRT RAIL,_____ Road,12/14/18,#6895,R1^
CREAMY BUTTER COOKIES,Food & Drink,12/14/18,#6895,R2
MONKEYS AND SLOTHS,Living Things,12/14/18,#6895,R3*
THICK FOREST,Place,12/14/18,#6895,T3
IT'S A GAME OF INCHES,Phrase,12/14/18,#6895,R4
SPICING THINGS UP,What Are You Doing?,12/14/18,#6895,R5
WORLDS APART,Phrase,12/14/18,#6895,BR
ALL IS CALM ALL IS BRIGHT,Song Lyrics,12/17/18,#6896,T1
ETERNAL OPTIMIST,Person,12/17/18,#6896,T2
TOUCHED BY AN ANGEL HAIR PASTA,Before & After,12/17/18,#6896,R1
GENTLY FALLING SNOWFLAKES,Things,12/17/18,#6896,R2
SAILING DIVING FISHING,What Are You Doing?,12/17/18,#6896,R3*
SANTA FE NEW MEXICO,On the Map,12/17/18,#6896,T3
CRANBERRY-GLAZED HAM,Food & Drink,12/17/18,#6896,R4
HUGE WAVE,Thing,12/17/18,#6896,BR
LIGHTING CANDLES,What Are You Doing?,12/18/18,#6897,T1
SOUTH DAKOTA,On the Map,12/18/18,#6897,T2
OLD-FASHIONED FRUITCAKE,Food & Drink,12/18/18,#6897,R1
TINSEL REINDEER ORNAMENTS TREE,Merry Christmas!,12/18/18,#6897,R2^
BUCKINGHAM PALACE,Landmark,12/18/18,#6897,R3*
TOGETHERNESS,Thing,12/18/18,#6897,T3
I CAN'T SAY ENOUGH,Phrase,12/18/18,#6897,R4
DIAMOND NECKLACE,What Are You Wearing?,12/18/18,#6897,R5
NEWBORN FAWN,Living Thing,12/18/18,#6897,BR
CRISPY ROAST DUCK,Food & Drink,12/19/18,#6898,T1
RESTAURANT CRITIC,Occupation,12/19/18,#6898,T2
IT SEEMS LIKE ONLY YESTERDAY,Phrase,12/19/18,#6898,R1
JINGLE BELL JINGLE BELL JINGLE BELL ROCK,Song Lyrics,12/19/18,#6898,R2
REGGAE ROMANCE RELAXATION,Same Letter,12/19/18,#6898,R3*
ACTION FIGURE,Fun & Games,12/19/18,#6898,T3
GOING TO THE MALL,What Are You Doing?,12/19/18,#6898,R4
DOCKING A BOAT,What Are You Doing?,12/19/18,#6898,BR
UNWRAPPING GIFTS,What Are You Doing?,12/20/18,#6899,T1
BIG-TICKET ITEMS,Things,12/20/18,#6899,T2
CURVE COTTON GUM MEAT,Having A Ball,12/20/18,#6899,R1^
WHEN OUT ON THE LAWN THERE AROSE SUCH A CLATTER,Quotation,12/20/18,#6899,R2
VISITORS FROM ALL OVER THE WORLD,People,12/20/18,#6899,R3*
UGLY SWEATER,What Are You Wearing?,12/20/18,#6899,T3
BEEF WELLINGTON,Food & Drink,12/20/18,#6899,R4
APPLYING FOR A JOB,What Are You Doing?,12/20/18,#6899,BR
RED RIBBON,Thing,12/21/18,#6900,T1
IT'S TOO EARLY TO TELL,Phrase,12/21/18,#6900,T2
ELVES IN SANTA'S WORKSHOP,Characters,12/21/18,#6900,R1
CHOCOLATE LUNCH TOYS MAIL,Think Inside the Box,12/21/18,#6900,R2^
A REMARKABLE RIVER CRUISE,Event,12/21/18,#6900,R3*
MARIAH CAREY,Proper Name,12/21/18,#6900,T3
DINNER FLATWARE,Around the House,12/21/18,#6900,R4
PROSPECTIVE BUYER,Person,12/21/18,#6900,BR
PUTTING UP DECORATIONS,What Are You Doing?,12/24/18,#6901,T1
VERMONT & NEW HAMPSHIRE,On the Map,12/24/18,#6901,T2
FILTER TRANSMISSION FAN OIL,Under the Hood,12/24/18,#6901,R1^
FRESH BATCH OF SUGAR COOKIES,Food & Drink,12/24/18,#6901,R2
BREATHTAKINGLY BEAUTIFUL,Phrase,12/24/18,#6901,R3*
PERFECTIONIST,Person,12/24/18,#6901,T3
WIDE-MOUTH MASON JARS,In the Kitchen,12/24/18,#6901,R4
ENGLISH LITERATURE,Thing,12/24/18,#6901,R5
BUMPY FLIGHT,Event,12/24/18,#6901,BR
GOODNESS GRACIOUS,Phrase,12/25/18,#6902,T1
CHILDREN'S BOOK,Thing,12/25/18,#6902,T2
CANDY CANES & CHRISTMAS CARDS,Same Letter,12/25/18,#6902,R1
SHOPPING TO MY HEART'S CONTENT,What Are You Doing?,12/25/18,#6902,R2
KITESURFING INSTRUCTOR,Occupation,12/25/18,#6902,R3*
BABES IN TOYLAND,Title,12/25/18,#6902,T3
TIME IS MONEY,Phrase,12/25/18,#6902,R4
WELL-BALANCED MEAL,Food & Drink,12/25/18,#6902,R5
BAGGY JEANS,What Are You Wearing?,12/25/18,#6902,BR
ROASTED CHESTNUTS,Food & Drink,12/26/18,#6903,T1
WRITING DESK,Around the House,12/26/18,#6903,T2
TOGETHER UNDER ONE ROOF,Phrase,12/26/18,#6903,R1
GINGERBREAD MAN OF MY DREAMS,Before & After,12/26/18,#6903,R2
ASTOUNDING WATERFALLS,Things,12/26/18,#6903,R3*
CUDDLY DALMATIAN,Living Thing,12/26/18,#6903,T3
LOOKING FOR THE BEST DEAL,What Are You Doing?,12/26/18,#6903,R4
DUMB JOKES,Fun & Games,12/26/18,#6903,BR
SISTERS AND BROTHERS,People,12/27/18,#6904,T1
